id,name,url,author,style,finished,updateTime,bookIntro
1,大道之极,http://book.zongheng.com/book/950862.html,黄昏吟唱,武侠仙侠,已完结,"更新时间 10-22 09:04",吾踏九步、一步一场道极、一步一个江湖、
2,逆世魔帝,http://book.zongheng.com/book/1028327.html,西风飒飒战旗如画,奇幻玄幻,已完结,"更新时间 10-21 12:19","武道，决定命运，决定生死，弱者，受人欺凌，强者，俯瞰天下。这是一个恃强凌弱的世界，武者以武道修为来定等级、论高低。 各大门派为了争夺修炼资源，一直保持明争暗斗。 在武道位面，只有武道强者有权利生存下去，即使是同族同门之人，若是实力弱小，也只有被驱赶欺凌的下场。 逆世魔帝官方书友群：312645473"
3,御龙之主,http://book.zongheng.com/book/904424.html,喝醋上头,奇幻玄幻,已完结,"更新时间 10-20 14:48",杨潇重生，争霸诸天，仙帝令发，携十方天界，纵横东海，转战三十万里，不听号令者，一律格杀。各巨枭纷纷俯首称臣。
4,撼天,http://book.zongheng.com/book/385381.html,一叶青天,奇幻玄幻,已完结,"更新时间 10-20 09:23","【二百万字热血玄幻爽文，新书《盖世帝尊》】祖龙出，九阴现，阴阳交泰，毁灭无极。 混沌神像，震古烁今，演无上战力，睥睨九天！　 当那铁戈的鼓鸣声从遥远的大荒敲响之刻，能否唤醒沉睡的战魂！？　魔掌乾坤，神掌阴阳，力之极可撼动九天！问苍茫大地，谁主沉浮？ 【177517330】群号！未完结！"
5,帝道独尊,http://book.zongheng.com/book/735577.html,一叶青天,奇幻玄幻,已完结,"更新时间 10-20 09:23","天地初始，宇宙洪荒；奇门九遁，布道星空。 当地球尘封万古的雪山龙棺移位时刻，诛天大道临世，神魔文明到来，宇宙如同撕裂枷锁的神魔，演化着一个精彩绝伦的修行世界。 仙命少年从弱小中崛起，一步步踏向宇宙星海，战万界，伐仙穹...... 作者微信公众号“一叶青天”，VIP订阅群：434739889"
6,盖世帝尊,http://book.zongheng.com/book/431145.html,一叶青天,奇幻玄幻,已完结,"更新时间 10-20 09:22","经典玄幻巨作《盖世帝尊》 纪元末年，诸王争霸，群魔并起，问道长生。 睡神少年，因祸得福，肉身成圣，弹指遮天，俯览岁月称尊！ 谁又能与岁月永恒？ 一叶青天微信公众号：搜索：一叶青天"
7,星际争霸战争,http://book.zongheng.com/book/915382.html,云中的呼唤,科幻游戏,已完结,"更新时间 10-12 23:01","公元2500年，人类因为地球的资源，严重不足，而且人口集聚膨胀。因此在当时现有科技下。组成了地球联盟。 随后于公元2700年，人类开始朝着银河系进发与银河系当时最大的几个土著族发生的激烈战争。师承“银河系之战”。 这次战争人类以损失了1200万人生命代价。攻占统治了几乎全部银河系。银河系之战后。 又成立了地球人类联盟远征军。开始朝着外星系征讨。这就是爆发了新一轮的“星际争霸战争”。"
8,图腾甲,http://book.zongheng.com/book/992571.html,梦虚,二次元,已完结,"更新时间 10-07 00:33",苏日安：人皇？哼！不过是那沽名钓誉之辈，总有一天，我当斩你！还人族一盛世乾坤！
9,重装废土,http://book.zongheng.com/book/1075758.html,花语无缺,科幻游戏,已完结,"更新时间 10-06 08:31","　　大灾变后的世界，人类依靠残存的科技和基因异能勉强生存。 罗飞被从小到大的兄弟砍断手臂，扔进虚无的次元界。 　　面对大难不死，强势回来的罗飞，他的兄弟如是说道： 　　你未来将成为邪恶的领主，奴役众生，戕害世界，更可恶的是还抢我未婚妻，夺我红颜知己，掠我兄弟下属。所以我要杀你…… 　　罗飞：你怎么知道？ 　　兄弟：因为我是重生者。 　　罗飞：我其实对女人没有兴趣。 　　兄弟：我眼睛不瞎，她们都有你的孩子。 　　罗飞：别误会，我们其实是兄弟情义，她们对我有情，我必须对她们有义，她们只是想找我帮忙要个孩子，我能有什么坏心眼…… 　　"
10,真战神,http://book.zongheng.com/book/1072545.html,安宁与烈,奇幻玄幻,已完结,"更新时间 10-02 14:55","系统彼此吞噬。 穿越者互相残杀。 只为一场掌控者的游戏。"
11,我在古代当奸商,http://book.zongheng.com/book/1082678.html,昊越,历史军事,已完结,"更新时间 09-30 23:08","“呦呦切克闹，压缩饼干来一套！” “走过路过，美味不要错过！” “特殊时期别亦难，唯有美食不可负！” 大洋返航的路途中，郑乾喜滋滋的吆喝着。 吝啬的他乘坐轮渡的时候，为了省钱买了一大堆压缩食品，没想到轮渡返航的时候，遇到了意外，轮渡的厨房被完全烧毁，而船上剩下的干粮，便成了一百多号人生存的希望。 顿时，他便看到了商机。"
12,我是都市阴阳先生,http://book.zongheng.com/book/964997.html,二郎小酱酱,都市娱乐,已完结,"更新时间 09-30 18:14",我本是一介阴阳先生，奈何一个个任务接踵而来……最后一层层不为人知的秘密揭开面纱，原来这一切都是我千年前的布局，我杜十三发誓！一定会拿回属于自己的一切！
13,天源令,http://book.zongheng.com/book/891537.html,铸就大墨,奇幻玄幻,已完结,"更新时间 09-26 06:56","捻手风云天地变，醉梦初醒无少年； 残雨没落众生愁，唯留晴空七重楼。 从我选择守护正义开始，不知不觉我变成了一个恶人。"
